2021-07-24 16:04:58 INFO  NetworkConfig:422 - writing properties to file /mnt/d/GIT/issLab2021/it.unibo.qak21.basicrobot/build/distributions/it.unibo.qak21.basicrobot-1.0/bin/Californium.properties
2021-07-24 16:04:59 INFO  RandomTokenGenerator:55 - using tokens of 8 bytes in length
2021-07-24 16:04:59 INFO  CoapEndpoint:423 - CoapEndpoint uses udp plain
2021-07-24 16:04:59 INFO  BlockwiseLayer:207 - BlockwiseLayer uses MAX_MESSAGE_SIZE=1024, PREFERRED_BLOCK_SIZE=512, BLOCKWISE_STATUS_LIFETIME=300000 and MAX_RESOURCE_BODY_SIZE=8192
2021-07-24 16:04:59 INFO  ReliabilityLayer:83 - ReliabilityLayer uses ACK_TIMEOUT=2000, ACK_RANDOM_FACTOR=1.5, and ACK_TIMEOUT_SCALE=2.0
2021-07-24 16:04:59 INFO  CoapServer:207 - Starting server
2021-07-24 16:04:59 INFO  UDPConnector:161 - UDPConnector starts up 1 sender threads and 1 receiver threads
2021-07-24 16:04:59 INFO  UDPConnector:187 - UDPConnector listening on 0.0.0.0/0.0.0.0:8020, recv buf = 81920, send buf = 81920, recv packet size = 2048
2021-07-24 16:04:59 INFO  CoapEndpoint:485 - Started endpoint at coap://0.0.0.0:8020
2021-07-24 16:05:25 INFO  NetworkConfig:372 - loading properties from file /mnt/d/GIT/issLab2021/it.unibo.qak21.basicrobot/build/distributions/it.unibo.qak21.basicrobot-1.0/bin/Californium.properties
2021-07-24 16:05:25 INFO  RandomTokenGenerator:55 - using tokens of 8 bytes in length
2021-07-24 16:05:25 INFO  CoapEndpoint:423 - CoapEndpoint uses udp plain
2021-07-24 16:05:25 INFO  BlockwiseLayer:207 - BlockwiseLayer uses MAX_MESSAGE_SIZE=1024, PREFERRED_BLOCK_SIZE=512, BLOCKWISE_STATUS_LIFETIME=300000 and MAX_RESOURCE_BODY_SIZE=8192
2021-07-24 16:05:25 INFO  ReliabilityLayer:83 - ReliabilityLayer uses ACK_TIMEOUT=2000, ACK_RANDOM_FACTOR=1.5, and ACK_TIMEOUT_SCALE=2.0
2021-07-24 16:05:25 INFO  CoapServer:207 - Starting server
2021-07-24 16:05:25 INFO  UDPConnector:161 - UDPConnector starts up 1 sender threads and 1 receiver threads
2021-07-24 16:05:25 INFO  UDPConnector:187 - UDPConnector listening on 0.0.0.0/0.0.0.0:8020, recv buf = 81920, send buf = 81920, recv packet size = 2048
2021-07-24 16:05:25 INFO  CoapEndpoint:485 - Started endpoint at coap://0.0.0.0:8020
2021-07-24 16:05:42 INFO  NetworkConfig:372 - loading properties from file /mnt/d/GIT/issLab2021/it.unibo.qak21.basicrobot/build/distributions/it.unibo.qak21.basicrobot-1.0/bin/Californium.properties
2021-07-24 16:05:43 INFO  RandomTokenGenerator:55 - using tokens of 8 bytes in length
2021-07-24 16:05:43 INFO  CoapEndpoint:423 - CoapEndpoint uses udp plain
2021-07-24 16:05:43 INFO  BlockwiseLayer:207 - BlockwiseLayer uses MAX_MESSAGE_SIZE=1024, PREFERRED_BLOCK_SIZE=512, BLOCKWISE_STATUS_LIFETIME=300000 and MAX_RESOURCE_BODY_SIZE=8192
2021-07-24 16:05:43 INFO  ReliabilityLayer:83 - ReliabilityLayer uses ACK_TIMEOUT=2000, ACK_RANDOM_FACTOR=1.5, and ACK_TIMEOUT_SCALE=2.0
2021-07-24 16:05:43 INFO  CoapServer:207 - Starting server
2021-07-24 16:05:43 INFO  UDPConnector:161 - UDPConnector starts up 1 sender threads and 1 receiver threads
2021-07-24 16:05:43 INFO  UDPConnector:187 - UDPConnector listening on 0.0.0.0/0.0.0.0:8020, recv buf = 81920, send buf = 81920, recv packet size = 2048
2021-07-24 16:05:43 INFO  CoapEndpoint:485 - Started endpoint at coap://0.0.0.0:8020
2021-07-24 21:52:05 INFO  NetworkConfig:372 - loading properties from file /mnt/d/GIT/issLab2021/it.unibo.qak21.basicrobot/build/distributions/it.unibo.qak21.basicrobot-1.0/bin/Californium.properties
2021-07-24 21:52:05 INFO  RandomTokenGenerator:55 - using tokens of 8 bytes in length
2021-07-24 21:52:06 INFO  CoapEndpoint:423 - CoapEndpoint uses udp plain
